sentence,pseudo_that,context,embedded_clause,matrix_verb_to_cc,verb,verb_in_text,embedded_clause_n,comp_type,context_verb,context_verb_n,embedded_n_sum,verb_sum
"He later opined that , while Peters 's book received widespread interest and approval in the United States , a scholarly demonstration of its fraudulence and unreliability aroused little attention :.","He later opined , while Peters 's book received widespread interest and approval in the United States , a scholarly demonstration of its fraudulence and unreliability aroused little attention :.",He later,", while Peters 's book received widespread interest and approval in the United States , a scholarly demonstration of its fraudulence and unreliability aroused little attention :.",0,opine,opined,"He later opined , while Peters 's book",that,He later opined,"He later opined , while Peters 's book received widespread",66.82170045375824,14.281868522055447
"Not a single national newspaper or columnist contacted found newsworthy that a best @-@ selling , effusively praised ' study ' of the Middle East conflict was a threadbare hoax.","Not a single national newspaper or columnist contacted found newsworthy a best @-@ selling , effusively praised ' study ' of the Middle East conflict was a threadbare hoax.",Not a single national newspaper or columnist contacted,"a best @-@ selling , effusively praised ' study ' of the Middle East conflict was a threadbare hoax.",1,find,found,"Not a single national newspaper or columnist contacted found newsworthy a best @-@ selling ,",that,Not a single national newspaper or columnist contacted found,"Not a single national newspaper or columnist contacted found newsworthy a best @-@ selling , effusively praised",137.97969534993172,17.72891616821289
""" I warned him , if you follow this , you 're going to get in trouble — because you 're going to expose the American intellectual community as a gang of frauds , and they are not going to like it , and they 're going to destroy you.",""" I warned him , if you follow this , you 're going to get in trouble — because you 're going to expose the American intellectual community as a gang of frauds , and they are not going to like it , and they 're going to destroy you.",""" I","him , if you follow this , you 're going to get in trouble — because you 're going to expose the American intellectual community as a gang of frauds , and they are not going to like it , and they 're going to destroy you.",0,warn,warned,""" I warned him , if you follow",none,""" I warned",""" I warned him , if you follow this ,",35.91931235790253,13.272849082946777
"Israeli historian Avi Shlaim later praised Finkelstein 's thesis , saying that it had established his credentials when he was still a doctoral student.","Israeli historian Avi Shlaim later praised Finkelstein 's thesis , saying it had established his credentials when he was still a doctoral student.","Israeli historian Avi Shlaim later praised Finkelstein 's thesis ,",it had established his credentials when he was still a doctoral student.,0,say,saying,"Israeli historian Avi Shlaim later praised Finkelstein 's thesis , saying it had established his credentials",that,"Israeli historian Avi Shlaim later praised Finkelstein 's thesis , saying","Israeli historian Avi Shlaim later praised Finkelstein 's thesis , saying it had established his credentials when he",41.389562487602234,3.1952719688415527
"In Shlaim 's view , Finkelstein had produced an "" unanswerable case "" with "" irrefutable evidence "" , proving that Peters ' book was both "" preposterous and worthless "".","In Shlaim 's view , Finkelstein had produced an "" unanswerable case "" with "" irrefutable evidence "" , proving Peters ' book was both "" preposterous and worthless "".","In Shlaim 's view , Finkelstein had produced an "" unanswerable case "" with "" irrefutable evidence "" ,","Peters ' book was both "" preposterous and worthless "".",0,prove,proving,"In Shlaim 's view , Finkelstein had produced an "" unanswerable case "" with "" irrefutable evidence "" , proving Peters ' book was both",that,"In Shlaim 's view , Finkelstein had produced an "" unanswerable case "" with "" irrefutable evidence "" , proving","In Shlaim 's view , Finkelstein had produced an "" unanswerable case "" with "" irrefutable evidence "" , proving Peters ' book was both "" preposterous",61.476617738604546,8.6953125
"Chomsky wrote in Understanding Power that Finkelstein "" literally could not get the faculty to read [ his dissertation ] "" and that Princeton eventually granted Finkelstein his doctorate only "" out of embarrassment [ for Princeton ] "" but refused to give him any further professional backing.","Chomsky wrote in Understanding Power Finkelstein "" literally could not get the faculty to read [ his dissertation ] "" and that Princeton eventually granted Finkelstein his doctorate only "" out of embarrassment [ for Princeton ] "" but refused to give him any further professional backing.",Chomsky,"Finkelstein "" literally could not get the faculty to read [ his dissertation ] "" and that Princeton eventually granted Finkelstein his doctorate only "" out of embarrassment [ for Princeton ] "" but refused to give him any further professional backing.",3,write,wrote,"Chomsky wrote in Understanding Power Finkelstein "" literally could not",that,Chomsky wrote,"Chomsky wrote in Understanding Power Finkelstein "" literally could not get the",98.59194764494896,7.692012310028076
"Here , Finkelstein argues that Elie Wiesel and others exploit the memory of the Holocaust as an "" ideological weapon.","Here , Finkelstein argues Elie Wiesel and others exploit the memory of the Holocaust as an "" ideological weapon.","Here , Finkelstein","Elie Wiesel and others exploit the memory of the Holocaust as an "" ideological weapon.",0,argue,argues,"Here , Finkelstein argues Elie Wiesel and others exploit",that,"Here , Finkelstein argues","Here , Finkelstein argues Elie Wiesel and others exploit the memory",57.58945344015956,7.755722999572754
"Israeli Holocaust historian Israel Gutman called the book "" a lampoon "" , stating "" this is not research ; it isn 't even political literature ... I don 't even think it should be reviewed or critiqued as a legitimate book.","Israeli Holocaust historian Israel Gutman called the book "" a lampoon "" , stating "" this is not research ; it isn 't even political literature ... I don 't even think it should be reviewed or critiqued as a legitimate book.","Israeli Holocaust historian Israel Gutman called the book "" a lampoon "" ,",""" this is not research ; it isn 't even political literature ... I don 't even think it should be reviewed or critiqued as a legitimate book.",0,state,stating,"Israeli Holocaust historian Israel Gutman called the book "" a lampoon "" , stating "" this is not research",none,"Israeli Holocaust historian Israel Gutman called the book "" a lampoon "" , stating","Israeli Holocaust historian Israel Gutman called the book "" a lampoon "" , stating "" this is not research ; it",39.52368474006653,7.847315788269043
"Israeli Holocaust historian Israel Gutman called the book "" a lampoon "" , stating "" this is not research ; it isn 't even political literature ... I don 't even think it should be reviewed or critiqued as a legitimate book.","Israeli Holocaust historian Israel Gutman called the book "" a lampoon "" , stating "" this is not research ; it isn 't even political literature ... I don 't even think it should be reviewed or critiqued as a legitimate book.","Israeli Holocaust historian Israel Gutman called the book "" a lampoon "" , stating "" this is not research ; it isn 't even political literature ... I don 't even",it should be reviewed or critiqued as a legitimate book.,0,think,think,"Israeli Holocaust historian Israel Gutman called the book "" a lampoon "" , stating "" this is not research ; it isn 't even political literature ... I don 't even think it should be reviewed or",none,"Israeli Holocaust historian Israel Gutman called the book "" a lampoon "" , stating "" this is not research ; it isn 't even political literature ... I don 't even think","Israeli Holocaust historian Israel Gutman called the book "" a lampoon "" , stating "" this is not research ; it isn 't even political literature ... I don 't even think it should be reviewed or critiqued as",34.578757860464975,3.9112660884857178
"However , preeminent Holocaust scholar Raul Hilberg said the book expressed views Hilberg himself subscribed to in substance , in that he too found the exploitation of the Holocaust , as Finkelstein describes , "" detestable "".","However , preeminent Holocaust scholar Raul Hilberg said the book expressed views Hilberg himself subscribed to in substance , in that he too found the exploitation of the Holocaust , as Finkelstein describes , "" detestable "".","However , preeminent Holocaust scholar Raul Hilberg","the book expressed views Hilberg himself subscribed to in substance , in that he too found the exploitation of the Holocaust , as Finkelstein describes , "" detestable "".",0,say,said,"However , preeminent Holocaust scholar Raul Hilberg said the book expressed views Hilberg",none,"However , preeminent Holocaust scholar Raul Hilberg said","However , preeminent Holocaust scholar Raul Hilberg said the book expressed views Hilberg himself subscribed",64.19256492122076,4.930531978607178
"Asked on another occasion if Finkelstein 's analysis might play into the hands of neo @-@ Nazis for antisemitic purposes , Hilberg replied : "" Well , even if they do use it in that fashion , I 'm afraid that when it comes to the truth , it has to be said openly , without regard to any consequences that would be undesirable , embarrassing "".","Asked on another occasion if Finkelstein 's analysis might play into the hands of neo @-@ Nazis for antisemitic purposes , Hilberg replied : "" Well , even if they do use it in that fashion , I 'm afraid that when it comes to the truth , it has to be said openly , without regard to any consequences that would be undesirable , embarrassing "".","Asked on another occasion if Finkelstein 's analysis might play into the hands of neo @-@ Nazis for antisemitic purposes , Hilberg",": "" Well , even if they do use it in that fashion , I 'm afraid that when it comes to the truth , it has to be said openly , without regard to any consequences that would be undesirable , embarrassing "".",0,reply,replied,"Nazis for antisemitic purposes , Hilberg replied : "" Well , even",none,"Asked on another occasion if Finkelstein 's analysis might play into the hands of neo @-@ Nazis for antisemitic purposes , Hilberg replied","Asked on another occasion if Finkelstein 's analysis might play into the hands of neo @-@ Nazis for antisemitic purposes , Hilberg replied : "" Well , even if they",36.318738996982574,1.607474535703659
Other critics claim Finkelstein 's evidence is highly selective and / or dubious and that his arguments would be based on a misinterpretation of history and a questionable use of sources.,Other critics claim Finkelstein 's evidence is highly selective and / or dubious and that his arguments would be based on a misinterpretation of history and a questionable use of sources.,Other critics,Finkelstein 's evidence is highly selective and / or dubious and that his arguments would be based on a misinterpretation of history and a questionable use of sources.,0,claim,claim,Other critics claim Finkelstein 's evidence is highly,none,Other critics claim,Other critics claim Finkelstein 's evidence is highly selective and,56.99868419766426,6.132394313812256
"The historian David Cesarani wrote that while Finkelstein absolves Swiss banks of serious misconduct towards Holocaust survivors and depicts them as victims of a Jewish terror based on a sentence from an important report annex , he had ignored the report body which describes deceitful actions by Swiss banks , inappropriate closing of accounts , failure to keep adequate records , and so on.","The historian David Cesarani wrote while Finkelstein absolves Swiss banks of serious misconduct towards Holocaust survivors and depicts them as victims of a Jewish terror based on a sentence from an important report annex , he had ignored the report body which describes deceitful actions by Swiss banks , inappropriate closing of accounts , failure to keep adequate records , and so on.",The historian David Cesarani,"while Finkelstein absolves Swiss banks of serious misconduct towards Holocaust survivors and depicts them as victims of a Jewish terror based on a sentence from an important report annex , he had ignored the report body which describes deceitful actions by Swiss banks , inappropriate closing of accounts , failure to keep adequate records , and so on.",0,write,wrote,The historian David Cesarani wrote while Finkelstein absolves Swiss banks,that,The historian David Cesarani wrote,The historian David Cesarani wrote while Finkelstein absolves Swiss banks of serious,83.84160214662552,5.912099838256836
"During a debate on Democracy Now ! , Finkelstein asserted that Dershowitz lacked knowledge about specific contents of his own book.","During a debate on Democracy Now ! , Finkelstein asserted Dershowitz lacked knowledge about specific contents of his own book.","During a debate on Democracy Now ! , Finkelstein",Dershowitz lacked knowledge about specific contents of his own book.,0,assert,asserted,"During a debate on Democracy Now ! , Finkelstein asserted Dershowitz lacked knowledge about specific",that,"During a debate on Democracy Now ! , Finkelstein asserted","During a debate on Democracy Now ! , Finkelstein asserted Dershowitz lacked knowledge about specific contents of",68.47847672505304,7.3127827644348145
"He also claimed that Dershowitz did not write the book , and may not have even read it.","He also claimed Dershowitz did not write the book , and may not have even read it.",He also,"Dershowitz did not write the book , and may not have even read it.",0,claim,claimed,He also claimed Dershowitz did not write the,that,He also claimed,"He also claimed Dershowitz did not write the book ,",52.988647422804206,5.961358070373535
Finkelstein suggests that this copying of quotations amounts to copying ideas.,Finkelstein suggests this copying of quotations amounts to copying ideas.,Finkelstein,this copying of quotations amounts to copying ideas.,0,suggest,suggests,Finkelstein suggests this copying of quotations amounts,that,Finkelstein suggests,Finkelstein suggests this copying of quotations amounts to copying,59.25236598402262,10.08614730834961
"Dershowitz answered the charge in a letter to the University of California 's Press Director Lynne Withey , arguing that Finkelstein had made up the smoking gun quotation , in that he had changed its wording ( from ' cite ' to ' copy ' ) in his book.","Dershowitz answered the charge in a letter to the University of California 's Press Director Lynne Withey , arguing Finkelstein had made up the smoking gun quotation , in that he had changed its wording ( from ' cite ' to ' copy ' ) in his book.","Dershowitz answered the charge in a letter to the University of California 's Press Director Lynne Withey ,","Finkelstein had made up the smoking gun quotation , in that he had changed its wording ( from ' cite ' to ' copy ' ) in his book.",0,argue,arguing,"Dershowitz answered the charge in a letter to the University of California 's Press Director Lynne Withey , arguing Finkelstein had made up the",that,"Dershowitz answered the charge in a letter to the University of California 's Press Director Lynne Withey , arguing","Dershowitz answered the charge in a letter to the University of California 's Press Director Lynne Withey , arguing Finkelstein had made up the smoking gun",58.53891686350107,8.272594451904297
"In public debate he has stated that if "" somebody borrowed the quote without going to check back on whether Mark Twain had said that , obviously that would be a serious charge "" ; however , he insisted emphatically that he himself did not do that , that he had indeed checked the original source by Twain.","In public debate he has stated if "" somebody borrowed the quote without going to check back on whether Mark Twain had said that , obviously that would be a serious charge "" ; however , he insisted emphatically that he himself did not do that , that he had indeed checked the original source by Twain.",In public debate he has,"if "" somebody borrowed the quote without going to check back on whether Mark Twain had said that , obviously that would be a serious charge "" ; however , he insisted emphatically that he himself did not do that , that he had indeed checked the original source by Twain.",0,state,stated,"In public debate he has stated if "" somebody borrowed the",that,In public debate he has stated,"In public debate he has stated if "" somebody borrowed the quote without",84.20685958862305,7.837059020996094
"In public debate he has stated that if "" somebody borrowed the quote without going to check back on whether Mark Twain had said that , obviously that would be a serious charge "" ; however , he insisted emphatically that he himself did not do that , that he had indeed checked the original source by Twain.","In public debate he has stated that if "" somebody borrowed the quote without going to check back on whether Mark Twain had said that , obviously that would be a serious charge "" ; however , he insisted emphatically he himself did not do that , that he had indeed checked the original source by Twain.","In public debate he has stated that if "" somebody borrowed the quote without going to check back on whether Mark Twain had said that , obviously that would be a serious charge "" ; however , he","he himself did not do that , that he had indeed checked the original source by Twain.",1,insist,insisted,"In public debate he has stated that if "" somebody borrowed the quote without going to check back on whether Mark Twain had said that , obviously that would be a serious charge "" ; however , he insisted emphatically he himself did not do",that,"In public debate he has stated that if "" somebody borrowed the quote without going to check back on whether Mark Twain had said that , obviously that would be a serious charge "" ; however , he insisted","In public debate he has stated that if "" somebody borrowed the quote without going to check back on whether Mark Twain had said that , obviously that would be a serious charge "" ; however , he insisted emphatically he himself did not do that ,",43.30962599813938,9.302532196044922
"Asserting that he did consult the original sources , Dershowitz said Finkelstein is simply accusing him of good scholarly practice : citing references he learned of initially from Peters 's book.","Asserting he did consult the original sources , Dershowitz said Finkelstein is simply accusing him of good scholarly practice : citing references he learned of initially from Peters 's book.",,"he did consult the original sources , Dershowitz said Finkelstein is simply accusing him of good scholarly practice : citing references he learned of initially from Peters 's book.",0,assert,Asserting,Asserting he did consult the original,that,Asserting,"Asserting he did consult the original sources ,",56.71525311470032,14.697567701339722
"Asserting that he did consult the original sources , Dershowitz said Finkelstein is simply accusing him of good scholarly practice : citing references he learned of initially from Peters 's book.","Asserting that he did consult the original sources , Dershowitz said Finkelstein is simply accusing him of good scholarly practice : citing references he learned of initially from Peters 's book.","Asserting that he did consult the original sources , Dershowitz",Finkelstein is simply accusing him of good scholarly practice : citing references he learned of initially from Peters 's book.,0,say,said,"Asserting that he did consult the original sources , Dershowitz said Finkelstein is simply accusing him",none,"Asserting that he did consult the original sources , Dershowitz said","Asserting that he did consult the original sources , Dershowitz said Finkelstein is simply accusing him of good",59.8887674883008,4.28083610534668
""" Plagiarism is taking someone else 's words and claiming they 're your own.",""" Plagiarism is taking someone else 's words and claiming they 're your own.",""" Plagiarism is taking someone else 's words and",they 're your own.,0,claim,claiming,""" Plagiarism is taking someone else 's words and claiming they 're your own",none,""" Plagiarism is taking someone else 's words and claiming",""" Plagiarism is taking someone else 's words and claiming they 're your own.",31.908958315849304,10.075610160827637
"In their joint interview on Democracy Now , however , Finkelstein cited specific passages in Dershowitz 's book in which a phrase that he says Peters coined was incorrectly attributed to George Orwell :.","In their joint interview on Democracy Now , however , Finkelstein cited specific passages in Dershowitz 's book in which a phrase that he says Peters coined was incorrectly attributed to George Orwell :.","In their joint interview on Democracy Now , however , Finkelstein cited specific passages in Dershowitz 's book in which a phrase that he",Peters coined was incorrectly attributed to George Orwell :.,0,say,says,"In their joint interview on Democracy Now , however , Finkelstein cited specific passages in Dershowitz 's book in which a phrase that he says Peters coined was incorrectly attributed",none,"In their joint interview on Democracy Now , however , Finkelstein cited specific passages in Dershowitz 's book in which a phrase that he says","In their joint interview on Democracy Now , however , Finkelstein cited specific passages in Dershowitz 's book in which a phrase that he says Peters coined was incorrectly attributed to George",51.22630175948143,4.590337008237839
""" [ Peters ] coins the phrase , ' turnspeak ' , she says she 's using it as a play off of George Orwell which as all listeners know used the phrase ' Newspeak.",""" [ Peters ] coins the phrase , ' turnspeak ' , she says she 's using it as a play off of George Orwell which as all listeners know used the phrase ' Newspeak.",""" [ Peters ] coins the phrase , ' turnspeak ' , she",she 's using it as a play off of George Orwell which as all listeners know used the phrase ' Newspeak.,0,say,says,""" [ Peters ] coins the phrase , ' turnspeak ' , she says she 's using it as",none,""" [ Peters ] coins the phrase , ' turnspeak ' , she says",""" [ Peters ] coins the phrase , ' turnspeak ' , she says she 's using it as a play",37.13832467794418,4.038267374038696
"' Turnspeak ' is not Orwell , Mr. Dershowitz , you 're the Felix Frankfurter chair at Harvard , you must know that Orwell would never use such a clunky phrase as ' turnspeak ' "".","' Turnspeak ' is not Orwell , Mr. Dershowitz , you 're the Felix Frankfurter chair at Harvard , you must know Orwell would never use such a clunky phrase as ' turnspeak ' "".","' Turnspeak ' is not Orwell , Mr. Dershowitz , you 're the Felix Frankfurter chair at Harvard , you must","Orwell would never use such a clunky phrase as ' turnspeak ' "".",0,know,know,"' Turnspeak ' is not Orwell , Mr. Dershowitz , you 're the Felix Frankfurter chair at Harvard , you must know Orwell would never use such",that,"' Turnspeak ' is not Orwell , Mr. Dershowitz , you 're the Felix Frankfurter chair at Harvard , you must know","' Turnspeak ' is not Orwell , Mr. Dershowitz , you 're the Felix Frankfurter chair at Harvard , you must know Orwell would never use such a clunky",51.39149224758148,4.214175224304199
"Cockburn 's claim is that some of the quotes should not have been cited to their original sources but rather to a secondary source , where he believes I stumbled upon them.","Cockburn 's claim is that some of the quotes should not have been cited to their original sources but rather to a secondary source , where he believes I stumbled upon them.","Cockburn 's claim is that some of the quotes should not have been cited to their original sources but rather to a secondary source , where he",I stumbled upon them.,0,believe,believes,"Cockburn 's claim is that some of the quotes should not have been cited to their original sources but rather to a secondary source , where he believes I stumbled upon them",none,"Cockburn 's claim is that some of the quotes should not have been cited to their original sources but rather to a secondary source , where he believes","Cockburn 's claim is that some of the quotes should not have been cited to their original sources but rather to a secondary source , where he believes I stumbled upon them.",29.44451504945755,7.458693981170654
"Quoting The Chicago Manual of Style , Dershowitz artfully implies that he followed the rules by citing "" the original "" as opposed to the secondary source , Peters.","Quoting The Chicago Manual of Style , Dershowitz artfully implies he followed the rules by citing "" the original "" as opposed to the secondary source , Peters.","Quoting The Chicago Manual of Style , Dershowitz artfully","he followed the rules by citing "" the original "" as opposed to the secondary source , Peters.",0,imply,implies,"Quoting The Chicago Manual of Style , Dershowitz artfully implies he followed the rules by",that,"Quoting The Chicago Manual of Style , Dershowitz artfully implies","Quoting The Chicago Manual of Style , Dershowitz artfully implies he followed the rules by citing """,47.65576612949371,11.499373808503151
"So Chicago is clearly insisting that unless Dershowitz went to the originals , he was obliged to cite Peters.","So Chicago is clearly insisting unless Dershowitz went to the originals , he was obliged to cite Peters.",So Chicago is clearly,"unless Dershowitz went to the originals , he was obliged to cite Peters.",0,insist,insisting,So Chicago is clearly insisting unless Dershowitz went to the,that,So Chicago is clearly insisting,"So Chicago is clearly insisting unless Dershowitz went to the originals ,",83.08429525943211,15.283894538879395
Finkelstein has conclusively demonstrated that he didn 't go to the originals.,Finkelstein has conclusively demonstrated he didn 't go to the originals.,Finkelstein has conclusively,he didn 't go to the originals.,0,demonstrate,demonstrated,Finkelstein has conclusively demonstrated he didn 't go to,that,Finkelstein has conclusively demonstrated,Finkelstein has conclusively demonstrated he didn 't go to the originals.,73.28793442249298,2.940199375152588
"In an April 3 , 2007 interview with the Harvard Crimson , "" Dershowitz confirmed that he had sent a letter last September to DePaul faculty members lobbying against Finkelstein 's tenure.","In an April 3 , 2007 interview with the Harvard Crimson , "" Dershowitz confirmed he had sent a letter last September to DePaul faculty members lobbying against Finkelstein 's tenure.","In an April 3 , 2007 interview with the Harvard Crimson , "" Dershowitz",he had sent a letter last September to DePaul faculty members lobbying against Finkelstein 's tenure.,0,confirm,confirmed,"In an April 3 , 2007 interview with the Harvard Crimson , "" Dershowitz confirmed he had sent a letter",that,"In an April 3 , 2007 interview with the Harvard Crimson , "" Dershowitz confirmed","In an April 3 , 2007 interview with the Harvard Crimson , "" Dershowitz confirmed he had sent a letter last September",35.14358937740326,11.735723495483398
"In an interview given for the film American Radical : The Trials of Norman Finkelstein in 2009 , Dershowitz said of Finkelstein : "" I don 't think he is a Jew.","In an interview given for the film American Radical : The Trials of Norman Finkelstein in 2009 , Dershowitz said of Finkelstein : "" I don 't think he is a Jew.","In an interview given for the film American Radical : The Trials of Norman Finkelstein in 2009 , Dershowitz","of Finkelstein : "" I don 't think he is a Jew.",0,say,said,"In an interview given for the film American Radical : The Trials of Norman Finkelstein in 2009 , Dershowitz said of Finkelstein : "" I",none,"In an interview given for the film American Radical : The Trials of Norman Finkelstein in 2009 , Dershowitz said","In an interview given for the film American Radical : The Trials of Norman Finkelstein in 2009 , Dershowitz said of Finkelstein : "" I don 't",39.061150595371146,1.9283525943756104
